"Year","Gender","Class","Name","Mark","Event","State"
1996,"Boys","C","Nick Perkins         Centura             ","4:36.02","1600m","Nebraska"
1996,"Boys","C","Will Hardin       Neligh-Oakdale          ","6-06","High Jump","Nebraska"
1996,"Boys","C","Brett Pond        Lyon-Decatur            ","6-04","High Jump","Nebraska"
1996,"Boys","C","Brian Holkovic      Mitchell               ","14-06","Pole Vault","Nebraska"
1996,"Boys","D","Mitch Holt          North Loup-Scotia   ",":11.18","100m","Nebraska"
1996,"Boys","D","Joe Cooper         South Platte       ","1:57.61","800m","Nebraska"
1996,"Boys","D","Joe Cooper          South Platte       ","4:32.97","1600m","Nebraska"
1996,"Boys","D","Chris Isaacson     Loomis              ","6-05","High Jump","Nebraska"
1996,"Boys","D","Scott Jewett       Wilcox              ","13-06","Pole Vault","Nebraska"
1996,"Boys","D","Travis Amstuz      Maywood             ","13-02","Pole Vault","Nebraska"
1971,"Girls","A","Shelly Thompson     North Platte        ","11.5","100y","Nebraska"
1971,"Girls","A","Donna Schuster      Beatrice           ","2:27.9","880y","Nebraska"
1971,"Girls","A","Kelly Calhoun     North Platte       ","4-09.75","High Jump","Nebraska"
1971,"Girls","A","Betty Johnson     Hastings                                                ","3","High Jump","Nebraska"
1971,"Girls","A","Nikki Strohmyer   North Platte                  ","5","High Jump","Nebraska"
1972,"Girls","A","Shelly Thompson    North Platte         ","11.3","100y","Nebraska"
